# name, aperture (mm), focal length (mm), f-ratio, reducer
Apertura 6" RC             , 152.4 , 1370,  9.0 , 1.0
Askar 60mm + Extender      ,  60   ,  360,  6.0 , 1.2388
Askar 60mm + Flattener     ,  60   ,  360,  6.0 , 1.0
Askar 60mm + Reducer       ,  60   ,  360,  6.0 , 0.75
Askar 80mm + Extender      ,  80   ,  500,  6.25, 1.2
Askar 80mm + Flattener     ,  80   ,  500,  6.18, 0.99
Askar 80mm + Reducer       ,  80   ,  500,  4.8 , 0.768
Canon EF  24mm             ,   8.6 ,   24,  2.8 , 1.0
Canon EF  50mm             ,  35.7 ,   50,  1.4 , 1.0
Canon EF 100mm             ,  35.7 ,  100,  2.8 , 1.0
Canon EF 200mm             ,  71.4 ,  200,  2.8 , 1.0
Celestron C 6 SCT          , 150.0 , 1500, 10.0 , 1.0
Celestron C 8/Edge         , 203.2 , 2032, 10.0 , 1.0
Celestron C 9.25/Edge      , 235.0 , 2350, 10.0 , 1.0
Celestron C11/Edge         , 279.4 , 2800, 10.0 , 1.0
Celestron C14/Edge         , 355.6 , 3910, 11.0 , 1.0
Meade  8" f/10 ACF         , 203.2 , 2032, 10.0 , 1.0
Meade 10" f/8  ACF         , 254.0 , 2032,  8.0 , 1.0
Meade 10" f/10 ACF         , 254.0 , 2540, 10.0 , 1.0
Meade 12" f/8  ACF         , 304.8 , 2438,  8.0 , 1.0
Meade 12" f/10 ACF         , 304.8 , 3048, 10.0 , 1.0
Meade 14" f/8  ACF         , 355.6 , 2845,  8.0 , 1.0
Meade 14" f/10 ACF         , 355.6 , 3556, 10.0 , 1.0
Meade 16" f/8  ACF         , 406.4 , 3251,  8.0 , 1.0
Meade 16" f/10 ACF         , 406.4 , 4064, 10.0 , 1.0
Opteka 500mm               ,  80.0 ,  500, 10.0 , 1.0
Orion Mini 32mm            ,  32.0 ,  122,  3.8 , 1.0
QHY Mini Guide Scope       ,  30.0 ,  130,  4.3 , 1.0
Rokinon 10mm               ,   3.57,   10,  2.8 , 1.0
SVBONY 60mm                ,  60   ,  240,  4.0 , 1.0
